INFORMCION GENERAL,,,,,,,,,,DATOS DEL PROPIETARIO,CARACTERISTICAS,,,,,,,,,,,,,SITUACION ,,,,,,,,,,,,,
NO. DE EXPEDIENTE,TIPO AERÓDROMO,DESIGNADOR,NOMBRE,ESTADO,MUNICIPIO,TIPO DE OPERACIÓN,TIPO DE SERVICIO,CLASIFICACION,CLAVE DE REFERENCIA,NOMBRE,ELEV (M),SISTEMA,"LATITUD
°","LATITUD
'","LATITUD
''","LONGITUD
°","LONGITUD
'","LONGITUD
''",ORIENTACION 1A,ORIENTACION 2A,LONGITUD DE PISTA A,ANCHO DE PISTA A,TIPO DE SUPERFICIE A,FECHA DE EXPEDICIÓN,DURACIÓN DEL PERMISO/  AUTORIZACIÓN,FECHA DE  VENCIMIENTO,MES,AÑO,¿VIGENTE?,SITUACIÓN,AEROPUERTO DE CORDINACIÓN,,,,,,
SP 1862,AERÓDROMO,JDO,CAP. JUAN DE DIOS ORTIZ,ESTADO DE MEXICO,SAN MATÍN DE LAS PIRÁMIDES,DIURNO,SERVICIO PARTICULAR,HELIPUERTO MIXTO,1-A,AEROEXTREMO DE MÉXICO S.A. DE C.V.,"2,311.00",WGS 84,19,42.00,8.76,98,48.00,40.03,5,23,231,23,TERRACERÍA,04/08/2015,15 AÑOS,04/08/2030,AGO,2030,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MEXICO, CIUDAD DE MEXICO",,,,,,
HP 1863,BARCO-HELIPUERTO,HQT,"TITIS (ANTES ""DOÑA TERE""",SINALOA,MAZATLÁN,DIURNO,SERVICIO PARTICULAR,HELIPUERTO MIXTO,H-1,"PESCA AZTECA, S.A. DE C.V.",0.00,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,,,,29/04/2015,15 AÑOS,29/04/2030,ABR,2030,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE MAZATLAN, SINALOA",,,,,,
HP 1864,BARCO-HELIPUERTO,HPZ,PACO C,SINALOA,MAZATLÁN,DIURNO,SERVICIO PARTICULAR,HELIPUERTO MIXTO,H-1,"PESCA AZTECA, S.A. DE C.V.",0.00,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,,,,29/04/2015,15 AÑOS,29/04/2030,ABR,2030,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE MAZATLAN, SINALOA",,,,,,
HP 1865,BARCO-HELIPUERTO,HSZ,TAMARA,SINALOA,MAZATLÁN,DIURNO,SERVICIO PARTICULAR,HELIPUERTO MIXTO,H-1,"PESCA AZTECA, S.A. DE C.V.",0.00,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,,,,29/04/2015,15 AÑOS,29/04/2030,ABR,2030,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE MAZATLAN, SINALOA",,,,,,
SP 1866,AERÓDROMO,MWS,EL MEZQUITE ROJO,TAMAULIPAS,SAN FERNANDO,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-B,"PICUDO ROJO, S DE P.R. DE R.L.",6.09,WGS 84,25,3.00,30.89,97,44.00,34.13,16,34,1800,20,ASFALTO,01/10/2015,15 AÑOS,01/10/2030,OCT,2030,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE MATAMOROS, TAMAULIPAS",,,,,,
SP 1867,AERÓDROMO,STM,SANTA MARÍA,CAMPECHE,DEL CARMEN,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,DANIEL DÍAZ VICEROS,,WGS 84,,,,,,,,,,,TERRACERÍA,SIN AUTORIZACIÓN,,SIN AUTORIZACIÓN,,,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE CIUDAD DEL CARMEN, CAMPECHE",,,,,,
HP 1868,BARCO-HELIPUERTO,HKM,MANZANILLO,COLIMA,MANZANILLO,DIURNO,SERVICIO PARTICULAR,HELIPUERTO MIXTO,H-1,"MARATUN, S.A. DE C.V.",0.00,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,,,,,,13/03/2024,15 AÑOS,13/03/2039,MAR,2039,SI,VIGENTE,AEROPUERTO NACIONAL DE COLIMA,,,,,,
HP 1869,HELIPUERTO,HHC,HOSPITAL CORDOBA,VERACRUZ,CORDOBA,DIURNO,SERVICIO PARTICULAR,ELEVADO,H-1,"CORPORATIVO DE HOSPITALES, S.A. DE C.V.",923.00,WGS 84,18,53.00,49.35,96,56.00,33.6,,,,,,30/03/2016,18 AÑOS,31/12/2034,DIC,2034,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE VERACRUZ, VERACRUZ",,,,,,
HP 1870,HELIPUERTO,HPJ,PUNTO POLANCO,CIUDAD DE MÉXICO,MIGUEL HIDALGO,DIURNO Y NOCTURNO,SERVICIO PARTICULAR,ELEVADO,H-1,"BANCA MIFEL, S.A., INSTITUCIÓN DE BANCA MÚLTIPLE, GRUPO FINANCIERO MIFEL","2,353.00",WGS 84,19,26.00,23.30,99,11.00,3.4,,,,,,21/09/2016,15 AÑOS,21/09/2031,SEP,2031,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MEXICO, CIUDAD DE MEXICO",,,,,,
SP 1871,AERÓDROMO,APR,AEROFUMIGACIONES PUERTO RICO,SINALOA,NAVOLATO,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,ROMEL GUSTAVO GONZÁLEZ LEÓN,9.12,WGS 84,24,43.00,44.39,107,40.00,50.05,8,26,500,9,TERRACERÍA,25/07/2016,15 AÑOS,25/07/2031,JUL,2031,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE CULIACAN, SINALOA",,,,,,
HP 1872,HELIPUERTO,HNO,LA NORIA,PUEBLA,PUEBLA,DIURNO,SERVICIO PARTICULAR,SUPERFICIE,H-1,"NORIA BUSINESS CENTER, S,A, DE C.V.","2,239.00",WGS,19,2.00,2.47,98,13.00,18.95,,,,,,SIN AUTORIZACIÓN,,SIN AUTORIZACIÓN,,,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL ""HERMANOS SERDÁN"" DE HUEJOTZINGO, PUE.",,,,,,
SP 1873,AERÓDROMO,AEP,AEROFUMIGACIONES EL PRIMO,TAMAULIPAS,GONZALEZ,DIURNO,SERVICIO PARTICULAR,TERRESTRE,PENDIENTE,AEROFUMIGACIONES EL PRIMO S. DE R.L.,93.00,WGS 84,22,44.00,56.50,98,24.00,43.09,27,60,750,8,TERRACERÍA,16/04/2021,180 DIAS ,16/10/2021,OCT,2021,NO,EN TRAMITE,"AEROPUERTO INTERNACIONAL DE TAMPICO, TAMAULIPAS",,,,,,
SP 1874,AERÓDROMO,LAE,LA ESPERANZA,SINALOA,ANGOSTURA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,JOSÉ ANTONIO LIERA CAMACHO,15.00,WGS 84,25,21.00,15.73,108,13.00,7.32,8,26,537,10,TERRACERÍA,03/08/2017,15 AÑOS,03/08/2032,AGO,2032,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE CULIACAN, SINALOA",,,,,,
HP 1875,HELIPUERTO,HNI,PLAZA ANTAIR,COAHUILA,PIEDRAS NEGRAS,DIURNO,SERVICIO PARTICULAR,ELEVADO,H-1,"ANTAIR, S.A. DE C.V.",294.00,WGS 84,28,30.00,31.44,100,42.00,14.11,,,,,,PROYECTO,,PROYECTO,,,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE PIEDRAS NEGRAS, COAHUILA",,,,,,
HP 1876,HELIPUERTO,HEI,ESPACIO SANTA FE,CIUDAD DE MÉXICO,CUAJIMALPA,DIURNO,SERVICIO PARTICULAR Y A TERCEROS,ELEVADO,H-1,"ADMINISTRADORA ESPACIO SANTA FE, A.C.","2,776.00",WGS 84,19,21.00,46.90,99,16.00,53.4,,,,,,16/03/2017,15 AÑOS,16/03/2032,MAR,2032,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MEXICO, CIUDAD DE MEXICO",,,,,,
HP 1877,HELIPUERTO,HSU,HOSPITAL STAR MEDICA QUERETARO,QUERETARO,QUERÉTARO,DIURNO,SERVICIO PARTICULAR,ELEVADO,H-1,"STAR MEDICA, S.A. DE C.V.","1,868.00",WGS 84,20,37.00,3.28,100,24.00,26,,,,,,16/12/2025,180 DIAS,16/06/2026,JUN,2026,SI,VIGENTE,AEROPUERTO INTERCONTINENTAL DE QUERÉTARO.,,,,,,
SP 1878,AERÓDROMO,ERT,EL RETORNO,TAMAULIPAS,GUERRERO,DIURNO,SERVICIO PARTICULAR,TERRESTRE,2-A,RAUL MUÑOZ JR,119.00,WGS 84,26,47.00,9.00,99,18.00,34,12,30,1040,25,TERRACERÍA,18/08/2016,15 AÑOS,18/08/2031,AGO,2031,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DEL NORTE, NUEVO LEON",,,,,,
HP 1880,HELIPUERTO,HDA,CORPORATIVO SANTA FE,CIUDAD DE MÉXICO,CUAJIMALPA,DIURNO Y NOCTURNO,SERVICIO PARTICULAR Y A TERCEROS,ELEVADO,H-1,"ADMINISTRACION TORRE BLUE, A.C.","2,715.00",WGS 84,19,21.00,30.97,99,16.00,42.8,,,,,,20/09/2018,15 AÑOS,17/04/2032,ABR,2032,SI ,VIGENTE ,"AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MEXICO, CIUDAD DE MEXICO",,,,,,
HP 1881,HELIPUERTO,HEL,EL FINANCIERO,CIUDAD DE MÉXICO,TLALPAN,DIURNO,SERVICIO PARTICULAR,ELEVADO,H-1,"GRUPÓ LAUMAN, S.A. DE C.V.","2,400.00",WGS 84,19,18.00,13.50,99,12.00,4.5,,,,,,23/11/2016,180 DIAS,23/05/2017,MAY,2017,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MEXICO, CIUDAD DE MEXICO",,,,,,
SP 1882,AERÓDROMO,LNG,LA NUEVA GLORIA,TAMAULIPAS,ALDAMA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,LA NUEVA GLORIA S.A. DE C.V.,40.00,WGS 84,22,41.00,32.60,98,13.00,39.8,1,19,780,18.00,TERRACERIA COMPACTADA,03/10/2016,15 AÑOS,03/10/2031,OCT,2031,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE TAMPICO, TAMAULIPAS",,,,,,
SP 1883,AERÓDROMO,RYO,EL NOPAL,TAMAULIPAS,ALDAMA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,DONALD HORACE EMITH THORNTON,249.00,WGS 84,23,10.00,23.96,98,6.00,48.69,18,36,1075,39.00,TERRACERIA COMPACTADA,26/07/2016,15 AÑOS,26/07/2031,JUL,2031,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE TAMPICO, TAMAULIPAS",,,,,,
HP 1884,BARCO-HELIPUERTO,HDQ,EL DUQUE,CHIAPAS,TAPACHULA,DIURNO,SERVICIO PARTICULAR,HELIPUERTO MIXTO,H-1,"PESCA AZTECA, S.A. DE C.V.",10.00,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,,,,,,21/09/2022,15 AÑOS,21/09/2037,SEP,2037,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE TAPACHULA, CHIAPAS",,,,,,
HP 1885,HELIPUERTO,HJP,JALMOLONGA,ESTADO DE MEXICO,MALINALCO,DIURNO,SERVICIO PARTICULAR,SUPERFICIE,H-2,"SERVICIOS AEREOS NOTICIOSOS, S.A. DE C.V.","1,534.00",WGS 84,18,54.00,55.70,99,29.00,41.9,,,,,,10/10/2017,180 DIAS,10/04/2018,ABR,2018,NO,EN TRAMITE,"AEROPUERTO INTERNACIONAL DE TOLUCA, ESTADO DE MEXICO",,,,,,
HP 1886,HELIPUERTO,HHW,GRUPO IMAGEN,CIUDAD DE MÉXICO,COYOACÁN,DIURNO,SERVICIO PARTICULAR,ELEVADO,H-2,"GIM ADMINISTRADORA DE INMUEBLES, S.A. DE C.V.","2,292.00",WGS 84,19,20.00,18.24,99,10.00,55.82,,,,,,SIN AUTORIZACIÓN,,SIN AUTORIZACIÓN,,,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MEXICO, CIUDAD DE MEXICO",,,,,,
HP 1887,HELIPUERTO,HDP,DESARROLLO PATRIMONIAL CITY,PUEBLA,SAN ANDRES CHOLULA,DIURNO,SERVICIO PARTICULAR,ELEVADO,H-1,"DESARROLLO PATRIMONIAL CITY, S.A. DE C.V.","2,180.00",WGS 84,19,1.00,40.59,98,14.00,9.37,,,,,,02/03/2018,15 AÑOS,02/03/2033,MAR,2033,SI,VIGENTE,"AEROPUERTO INTERNACIONAL ""HERMANOS SERDÁN"" DE HUEJOTZINGO, PUE.",,,,,,
SP 1888,AERÓDROMO,AGO,PISTA ALGODONERA DEL OASIS,CHIHUAHUA,OJINAGA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,"ALGODONERA DEL OASIS, S.P.R. DE R.I. DE C.V.","1,202.00",WGS 84,28,56.00,23.00,104,39.00,18,9,27,1000,40.00,TERRACERIA,21/03/2018,15 AÑOS,21/03/2033,MAR,2033,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE CHIHUAHUA, CHIHUAHUA",,,,,,
HP 1889,HELIPUERTO,HVY,TORRE VIRREYES,CIUDAD DE MÉXICO,MIGUEL HIDALGO,DIURNO,SERVICIO PARTICULAR,ELEVADO,H-2,"CORPORATIVO PEDREGAL HISPAMEX, S.A. DE C.V.","2,401.00",WGS 84,19,25.00,29.90,99,12.00,11.9,,,,,,01/07/2016,180 DÍAS,01/01/2017,ENE,2017,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MEXICO, CIUDAD DE MEXICO",,,,,,
HP 1890,HELIPUERTO,HNG,CENTRO DE NEGOCIOS TOLUCA,ESTADO DE MEXICO,TOLUCA,DIURNO,SERVICIO PARTICULAR Y A TERCEROS,ELEVADO,H-1,CENTRO DE NEGOCIOS TOLUCA. S.A. DE C.VC.,"2,636.00",WGS 84,19,16.00,47.24,99,36.00,27.71,,,,,,20/02/2018,15 AÑOS,20/02/2033,FEB,2033,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE TOLUCA, ESTADO DE MEXICO",,,,,,
SP 1891,AERÓDROMO,TFL,TIERRA FLOJA,CHIHUAHUA,"EL ROSAL, GUADALUPE Y CALVO",DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,EJIDO BABORIGAME,"2,314.00",WGS 84,26,27.00,22.46,107,22.00,38.76,11,29,450,23.00,TERRACERIA,29/11/2017,15 AÑOS,29/11/2032,NOV,2032,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE CHIHUAHUA, CHIHUAHUA",,,,,,
SP 1892,AERÓDROMO,ARV,ARROYO VERDE,CHIHUAHUA,"EL ROSAL, GUADALUPE Y CALVO",DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,EJIDO SANTA ROSA,"1,775.00",WGS 84,26,26.00,42.75,107,26.00,24.19,11,29,500,18.00,TERRACERIA,29/11/2017,15 AÑOS,29/11/2032,NOV,2032,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE CHIHUAHUA, CHIHUAHUA",,,,,,
HP 1893,HELIPUERTO,HFF,CORPOFE,CIUDAD DE MÉXICO,ALVARO OBREGON,DIURNO,SERVICIO PARTICULAR,ELEVADO,H-1,"GRUPO LAUMAN, S.A. DE C.V.","2,596.00",WGS 84,19,22.00,0.30,99,15.00,43.85,,,,,,13/01/2017,15 AÑOS,13/01/2032,ENE,2032,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MEXICO, CIUDAD DE MEXICO",,,,,,
HP 1894,HELIPUERTO,HFL,FUENTE BELLA,CIUDAD DE MÉXICO,TLALPAN,DIURNO,SERVICIO PARTICULAR,ELEVADO,H-1,"LAUMAN, S.A. DE C.V.","2,476.00",WGS 84,19,18.00,38.00,99,13.00,10,,,,,,SIN AUTORIZACIÓN,,SIN AUTORIZACIÓN,,,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MEXICO, CIUDAD DE MEXICO",,,,,,
SP 1895,AERÓDROMO,MLI,MINA LA INDIA,SONORA,SAHUARIPA,DIURNO,SERVICIO PARTICULAR Y A TERCEROS,TERRESTRE,1-A,"AGNICO SONORA, S.A. DE C.V.","1,700.00",WGS 84,28,43.00,30.10,108,53.00,12.91,13,31,700,40.00,SUELO COMPACTADO,08/08/2017,8 AÑOS,27/11/2027,NOV,2027,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE HERMOSILLO, SONORA",,,,,,
SP 1896,AERÓDROMO,SJJ,SAN JULIAN,CHIHUAHUA,GUADALUPE Y CALVO,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,"MINERA FRESNILLO, S.A. DE .C.V","2,678.00",WGS 84,26,9.00,42.53,106,32.00,18.67,9,26,800,10.00,ASFALTO,22/06/2021,15 AÑOS ,22/06/2036,JUN,2036,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE CULIACAN, SINALOA",,,,,,
HP 1897,HELIPUERTO,HJN,ITAM NAVAL MILITAR,CIUDAD DE MÉXICO,ÁLVARO OBREGÓN,DIURNO,SERVICIO PARTICULAR,TERRESTRE,H-1,ASOCIACIÓN MEXICANA DE CULTURA A.C.,"2,336.00",WGS 84,19,20.00,37.25,99,12.00,7.45,,,,,CONCRETO,07/12/2018,15 AÑOS,07/07/2033,DIC,2033,SI ,VIGENTE ,"AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MEXICO, CIUDAD DE MEXICO",,,,,,
HP 1898,HELIPUERTO,HIK,JV NUEVO LEÓN,CIUDAD DE MÉXICO,CUAUHTÉMOC,DIURNO,SERVICIO PARTICULAR,ELEVADO,H-1,"HELIPUERTOS DE PUEBLA, S.A. DE C.V.","2,266.00",WGS 84,19,24.00,14.23,99,10.00,15.67,,,,,CONCRETO,SIN AUTORIZACION,,SIN AUTORIZACION,,,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MEXICO, CIUDAD DE MEXICO",,,,,,
SP 1899,AERÓDROMO,NAY,NAYARIT,CAMPECHE,CHAMPOTON,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,C. JOHN HENRY JEFFRIES FLORES,16.00,WGS 84,19,12.00,24.24,90,18.00,18.06,27,9,800,8.00,TERRACERÍA,04/05/2020,15 AÑOS,04/05/2035,AGO,2035,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE CAMPECHE, CAMPECHE",,,,,,
HP 1900,HELIPUERTO,HVV,LA VIÑA,MICHOACÁN,MORELIA,DIURNO,SERVICIO PARTICULAR,SUPERFICIE,H-1,"AEROTOURS LA VIÑA, S.A. DE C.V.","1,946.00",WGS 84,19,40.00,32.77,101,12.00,17.83,,,,,CONCRETO,06/12/2016,8 AÑOS,31/01/2024,ENE,2024,NO,EN TRAMITE,"AEROPUERTO DE MORELIA, MICHOACAN",,,,,,
HP 1901,HELIPUERTO,HAY,CASA NAYAÁ,GUERRERO,PILCAYA,DIURNO,SERVICIO PARTICULAR,SUPERFICIE,H-1,"NAYAÁ MEZCAL, S.A.P.I. DE C.V.","1,205.00",WGS 84,18,42.00,13.93,99,29.00,18.52,,,,,,24/03/2017,15 AÑOS,24/03/2032,MAR,2032,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE CUERNAVACA, MORELOS",,,,,,
SP-1902,AERÓDROMO,JAB,RANCHO LOS JABINES,CAMPECHE,CHAMPOTON,DIURNO,SERVICIO PARTICULAR,SUPERFICIE,2-B,"RANCHO LOS JABINES, S. DE P.R. DE R.L.",28,WGS 84,19,6,3.87,90,20,4.6,10,28,1000,25,TERRACERIA,11/05/2017,15 AÑOS,11/05/2032,MAY,2032,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE CIUDAD DEL CARMEN, CAMPECHE",,,,,,
HP-1903,HELIPUERTO,HVD,LA VIGA,CIUDAD DE MÉXICO,IZTAPALAPA,DIURNO,SERVICIO PARTICULAR,ELEVADO,H-2,"PARKS MANTENIMIENTO, S.C.","2,292.00",WGS 84,19,22,46.88,97,7,17.24,,,,,CONCRETO,03/09/2019,13 AÑOS,03/09/2032,SEP,2032,SI,VIGENTE ,"AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MEXICO, CIUDAD DE MEXICO",,,,,,
HP-1904,HELIPUERTO,HLR,REFORMA LATINO,CIUDAD DE MÉXICO,CUAUHTÉMOC,DIURNO,SERVICIO PARTICULAR Y A TERCEROS,ELEVADO,H-1,"PARKS MANTENIMIENTO, S.C.","2,422.00",WGS 84,19,25,39.03,99,9,55.64,,,,,CONCRETO,10/19/18,11 AÑOS ,11/30/29,NOV,2029,SI ,VIGENTE ,"AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MEXICO, CIUDAD DE MEXICO",,,,,,
SP-1905,AERÓDROMO,EME,SANTA EMA,CHIHUAHUA,CHIHUAHUA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,MARTHA ROSARIO ALCALA MENDEZ,"1,202.00",WGS 84,28,43,36.99,105,59,18.85,1,19,500,18,TERRACERIA,12/11/20,180 DÍAS,11/06/2021,JUN,2021,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE CIUDAD JUAREZ, CHIHUAHUA",,,,,,
SP-1906,AERÓDROMO,RTI,RANCHO EL TANQUE DEL INDIO,COAHUILA,JIMÉNEZ,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,FERNANDO GONZALEZ ALDAÑA,350.00,WGS 84,27,47,12.00,100,36,42.00,12,30,900.00,30,TERRACERIA,03/03/2017,15 AÑOS,03/03/2032,MAR,2032,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE PIEDRAS NEGRAS, COAHUILA",,,,,,
SP-1907,AERÓDROMO,PSA,RANCHO SANTA ANITA,CHIHUAHUA,JANOS,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,JUAN ANTONIO GABILONDO TERRAZAS,"1,439.00",WGS 84,30,51,53.44,108,45,6.40,12,30,1100,30,TERRACERIA,02/05/2019,15 AÑOS,01/01/2034,ENE,2034,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE CIUDAD JUAREZ, CHIHUAHUA",,,,,,
SP-1908,AERÓDROMO,DLS,DOLORES,DURANGO,NAZAS,DIURNO,SERVICIO PARTICULAR,TERRESTRE,2-B,CARLOS GERARDO VALDES BOHIGAS,"1,293.00",WGS 84,25,18,31.20,104,7,46.80,7,25,1000,23,TERRACERIA,SIN AUTORIZACION,,SIN AUTORIZACION,,,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE TORREON, COAHUILA",,,,,,
HP 1909,HELIPUERTO,HRD,DESARROLLO LAS AMERICAS,JALISCO,GUADALAJARA,DIURNO,SERVICIO PARTICULAR,ELEVADO,H-1,"INMOBILIARIA 1500, S.A. DE C.V.","1,572.00",WGS 84,20,41,52.54,103,22,24.42,,,,,CONCRETO,25/01/2021,15 AÑOS,25/01/2036,ENE,2036,SI ,VIGENTE,"AEROPUERTO INTERNACIONAL DE GUADALAJARA, JALISCO",,,,,,
HP-1910,HELIPUERTO,HLC,LOMAS DE COCOYOC,MORELOS,YAUTEPEC ,DIURNO,SERVICIO PARTICULAR,SUPERFICIE,H-1,"LOMAS DE COCOYOC, SA. DE C.V.","1,405.00",WGS 84,18,54,12.95,98,57,1.00,,,,,,SIN AUTORIZACION,,SIN AUTORIZACION,,,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE CUERNAVACA, MORELOS",,,,,,
SP-1911,AERÓDROMO,CAB,EL BURRO,CHIHUAHUA,AHUMADA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,"CULTIVOS AGRÍCOLAS EL BURRO, S.P.R. DE R.L.","1,311.00",WGS 84,30,32,50.80,106,9,50.50,6,24,1600,23,TERRACERIA,18/03/2018,15 AÑOS,15/03/2033,MAR,2033,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE CIUDAD JUAREZ, CHIHUAHUA",,,,,,
SP-1912,AERÓDROMO,TQE,TEQUESQUITENGO,MORELOS,PUENTE DE IXTLA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,C. OSCAR ENRIQUE CALLEJA BELLO,997.00,WGS 84,18,38,48.23,99,15,43.00,10,28,750,10,TERRACERIA,14/09/2017,15 AÑOS,14/09/2032,SEP,2032,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE CUERNAVACA, MORELOS",,,,,,
SP-1913,AERÓDROMO,RCR,RANCHO CARRETAS,CHIHUAHUA,JANOS,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,"OPERADORA DE RANCHO SAN BLAS, S.A. DE C.V.","1,553.00",WGS 84,30,39,9.46,108,47,24.98,17,35,720,18,TERRACERIA,01/07/2020,6 AÑOS,31/05/2026,MAY,2026,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE CIUDAD JUAREZ, CHIHUAHUA",,,,,,
SP-1914,AERÓDROMO,RCV,RANCHO CALVILLO,COAHUILA,MUZQUIZ,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,EDUARDO JAVIER HINOJOSA SANCHEZ,539.00,WGS 84,27,54,32.20,101,42,30.60,13,31,1000,20,TERRACERIA,04/03/2021,15 AÑOS,03/03/2036,MAR,2036,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE MONCLOVA, COAHUILA",,,,,,
HP-1915,HELIPUERTO,HIO,ALTIA,TABASCO,VILLAHERMOSA,DIURNO,SERVICIO PARTICULAR,SUPERFICIE,H-2,INMOBILIARIA DON GREGORIO,,WGS 84,17,59,24.38,92,57,49.78,,,,,,SIN AUTORIZACION,,SIN AUTORIZACION,,,NO,EN TRAMITE,"AEROPUERTO INTERNACIONAL DE VILLAHERMOSA, TABASCO",,,,,,
HP-1916,HELIPUERTO,HFS,CENTRO DE GOB. DEL EDO. DE GUERRERO,GUERRERO,ACAPULCO DE JUÁREZ,DIURNO,SERVICIO PARTICULAR,ELEVADO,H-1,GOBIERNO DEL ESTADO DE GUERRERO.,33.00,WGS 84,16,51,20.00,99,53,51.00,,,,,,SIN AUTORIZACION,,SIN AUTORIZACION,,,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE ACAPULCO, GUERRERO",,,,,,
SP-1917,AERÓDROMO,MRT,MI RANCHITO,SINALOA,CULIACAN,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,RAFAEL ALFARO YAÑEZ,27.00,WGS 84,24,53,14.01,107,38,46.26,12,30,800,7,CONCRETO HIDRAULICO,18/07/2018,15 AÑOS ,18/07/2033,JUL,2033,SI ,VIGENTE ,"AEROPUERTO INTERNACIONAL DE CULIACAN, SINALOA",,,,,,
SP-1918,AERÓDROMO,COM,COMITAN,CHIAPAS,COMITAN,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,LUIS GOMEZ DEL ANGEL,"1,635.00",WGS 84,16,15,58.45,92,4,59.98,12,30,600,7,TERRACERIA,04/12/2017,15 AÑOS,04/12/2032,DIC,2032,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE TAPACHULA, CHIAPAS",,,,,,
