INFORMCION GENERAL,,,,,,,,,,DATOS DEL PROPIETARIO,CARACTERISTICAS,,,,,,,,,,,,,SITUACION ,,,,,,,,,,,,,
NO. DE EXPEDIENTE,TIPO AERÓDROMO,DESIGNADOR,NOMBRE,ESTADO,MUNICIPIO,TIPO DE OPERACIÓN,TIPO DE SERVICIO,CLASIFICACION,CLAVE DE REFERENCIA,NOMBRE,ELEV (M),SISTEMA,"LATITUD
°","LATITUD
'","LATITUD
''","LONGITUD
°","LONGITUD
'","LONGITUD
''",ORIENTACION 1A,ORIENTACION 2A,LONGITUD DE PISTA A,ANCHO DE PISTA A,TIPO DE SUPERFICIE A,FECHA DE EXPEDICIÓN,DURACIÓN DEL PERMISO/  AUTORIZACIÓN,FECHA DE  VENCIMIENTO,MES,AÑO,¿VIGENTE?,SITUACIÓN,AEROPUERTO DE CORDINACIÓN,,,,,,
HP 032,HELIPUERTO,HCQ,PLAZA CARACOL DOS,QUINTANA ROO,BENITO JUAREZ (CANCUN),DIURNO,SERVICIO PARTICULAR,ELEVADO,H-1,"PLAZA CARACOL DOS, S.A. DE C.V.",11.00,WGS-84,22,8,5.00,86,45,40.00,,,,,,23/08/2002,90 DÍAS,SIN AUTORIZACIÓN,NOV,2002,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE CANCUN, QUINTANA ROO",,,,,,
HP 033,HELIPUERTO,HPP,CABO DE PEÑAS,ESTADO DE MEXICO,HUIXQUILUCAN,DIURNO,SERVICIO PARTICULAR Y A TERCEROS,ELEVADO,H-1,"CABO DE PEÑAS EDIFICIOS Y TERRENOS, S.A. DE C.V.","2,526.50",WGS-84,19,24,7.96,99,16,30.32,,,,,,15/08/2025,180 DIAS,15/02/2026,FEB,2026,NO,EN TRAMITE,"AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MEXICO, CIUDAD DE MEXICO",,,,,,
SP 034,AERÓDROMO,JPN,PISTA DE JALPAN,QUERETARO,QUERETARO,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,GOBIERNO DEL ESTADO DE QUERETARO,720.00,WGS-84,21,15,7.00,99,28,50.00,15,33,"1,200.00",20.00,ASFALTO,30/04/2018,30 AÑOS,30/04/2049,ABR,2049,SI,VIGENTE,AEROPUERTO INTERCONTINENTAL DE QUERÉTARO.,,,,,,
SP 035,AERÓDROMO,JCN,JAZMINES DE COYULTITA,NAYARIT,EL NAYAR,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,"H. AYUNTAMIENTO CONSTITUCIONAL  EL NAYAR, NAYARIT","1,140.00",WGS-84,22,0,12.80,104,38,55.60,15,33,960.00,16.00,TERRACERÍA,27/11/2002,90 DÍAS,27/02/2003,FEB,2003,NO,INOPERATIVO,"AEROPUERTO DE TEPIC, NAYARIT",,,,,,
SP 036,AERÓDROMO,JNN,EL JANEÑO,SONORA,ALTAR,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,"SOCIEDAD DE PRODUCCION RURAL DE R.I., MARIA ISABEL DEL OLIVO",610.00,WGS-84,31,9,2.00,111,58,25.00,7,25,700.00,10.00,TERRACERÍA,01/06/2007,5 AÑOS,01/06/2012,JUN,2012,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE NOGALES, SONORA",,,,,,
SP 037,AERÓDROMO,PRC,PUERTECITOS,BAJA CALIFORNIA,ENSENADA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,2-C,"PUERTECITOS SAN RAFAEL, S.A. DE C.V.",10.00,NAD 27,30,21,13.00,114,38,18.70,16,34,970.00,30.00,TERRACERÍA,03/11/2005,5 AÑOS,03/11/2010,NOV,2010,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE SAN FELIPE, BAJA CALIFORNIA",,,,,,
SP 038,AERÓDROMO,HRH,HERNANDEZ RANCH,MICHOACÁN,TANCITARO,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,JOSE CARLOS HERNANDEZ CANO,"2,064.00",WGS-84,19,19,46.00,102,19,38.00,18,36,500.00,12.00,cONCRETO,05/11/2014,15 AÑOS,05/11/2029,NOV,2029,SI,VIGENTE,"AEROPUERTO DE URUAPAN, MICHOACAN",,,,,,
SP 039,AERÓDROMO,RLS,LOMA ROJA,PUEBLA,RAFAEL LARA GRAJALES,DIURNO,SERVICIO PARTICULAR,TERRESTRE,2-A,LIC. RODRIGO FERNANDO LOPEZ SAINZ DE JUAMBELZ,"2,354.00",WGS-84,19,15,10.20,97,40,38.80,3,21,"1,200.00",15.00,ASFALTO,30/07/2013,15 AÑOS,30/07/2028,JUL,2028,SI,VIGENTE,"AEROPUERTO INTERNACIONAL ""HERMANOS SERDÁN"" DE HUEJOTZINGO, PUE.",,,,,,
HP 040,HELIPUERTO,HGJ,HELIPUERTO GUADALAJARA,JALISCO,GUADALAJARA,DIURNO,SERVICIO PARTICULAR,ELEVADO,H-2,H. AYUNTAMIENTO DE GUADALAJARA,"1,550.00",,20,43,0.00,103,18,30.00,,,,,,SIN AUTORIZACIÓN,,SIN AUTORIZACIÓN,ENE,2000,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE GUADALAJARA, JALISCO",,,,,,
SP 041,AERÓDROMO,BGA,LAS BRISAS,SINALOA,GUASAVE,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,BENITO GAXIOLA MEZA,18.00,WGS-84,25,29,14.52,108,14,48.36,9,27,678.00,10.00,PAVIMENTO Y TERRACERIA,17/11/2013,15 AÑOS,17/11/2028,NOV,2028,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE LOS MOCHIS, SINALOA",,,,,,
SP 042,AERÓDROMO,NVO,PISTA NUEVO LEON BAJA II,BAJA CALIFORNIA,MEXICALI,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,JOSE FELIX HERNANDEZ FERNANDEZ,15.00,NAD 27,32,24,56.90,115,10,15.30,8,26,500.00,10.00,TERRACERÍA,04/03/2003,180 DIAS,04/09/2003,SEP,2003,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE MEXICALI, BAJA CALIFORNIA",,,,,,
SP 043,AERÓDROMO,LOC,LOS OLIVOS,SONORA,CABORCA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,"SOCIEDAD DE PRODUCCION RURAL DE R.I. ""MARIA ISABEL DEL OLIVO""",14.00,WGS-84,30,34,41.00,112,56,54.00,1,19,650.00,12.00,TERRACERÍA,01/06/2007,5 AÑOS,01/06/2012,JUN,2012,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE NOGALES, SONORA",,,,,,
SP 044,AERÓDROMO,EJR,RANCHO EL JARALITO,SAN LUIS POTOSÍ,SANTA MARIA DEL RIO,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,ESTEBAN GONZALEZ ORTIZ,"1,889.00",,21,39,19.00,100,46,44.00,18,36,"1,000.00",10.00,ASFALTO,20/06/2012,180 DIAS,20/12/2012,DIC,2012,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE SAN LUIS POTOSI, SAN LUIS POTOSI",,,,,,
SP 045,AERÓDROMO,SDC,SAN JUAN DE CAMARONES,DURANGO,SANTIAGO PAPASQUIARO,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,BIENES COMUNALES DE SAN JUAN DE CAMARONES,630.00,WGS-84,24,55,24.00,106,24,40.00,7,25,345.00,15.00,TERRACERÍA,12/03/2009,180 DIAS,12/09/2009,SEP,2009,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE DURANGO, DURANGO",,,,,,
HP 046,HELIPUERTO,HBA,PLAZA CORPORATIVO BANAMEX,CIUDAD DE MÉXICO,ALVARO OBREGON,DIURNO Y NOCTURNO,SERVICIO PARTICULAR,ELEVADO,H-1,"INMUEBLES BANAMEX, S.A. DE C.V.","2,563.50",,19,22,26.55,99,15,31.90,,,,,,07/11/2019,15 AÑOS,07/11/2034,NOV,2034,SI ,VIGENTE,"AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MEXICO, CIUDAD DE MEXICO",,,,,,
HP 047,HELIPUERTO,HAA,ALMATER,BAJA CALIFORNIA,MEXICALI,DIURNO,SERVICIO PARTICULAR,ELEVADO,H-1,HOSPITAL ALMATER S.A DE C.V.,17.00,WGS-84,32,39,52.40,115,28,34.70,,,,,,SIN AUTORIZACIÓN,,SIN AUTORIZACIÓN,ABR,2008,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE MEXICALI, BAJA CALIFORNIA",,,,,,
SP 048,AERÓDROMO,LNC,LA ANACUA,TAMAULIPAS,SOTO LA MARINA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,JOSE LUIS FRANCO ALVAREZ,50.00,WGS-84,23,24,39.00,97,49,57.50,16,34,930.00,20.00,TERRENO NATURAL CON PASTO,09/03/2016,15 AÑOS,09/03/2031,MAR,2031,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE TAMPICO, TAMAULIPAS",,,,,,
SP 049,AERÓDROMO,PAC,PISTA AÉREA CADENAS,MICHOACÁN,BUENAVISTA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,RIGOBERTO CADENAS HERNANDEZ,400.00,NAD 27,19,12,7.00,102,37,30.00,9,27,700.00,14.00,TERRACERÍA,18/02/2008,5 AÑOS,18/02/2013,FEB,2013,NO,INOPERATIVO,"AEROPUERTO DE ZAMORA, MICHOACAN",,,,,,
SP 050,AERÓDROMO,SFR,SAN FERNANDO,TAMAULIPAS,SAN FERNANDO,DIURNO,SERVICIO PARTICULAR,TERRESTRE,2-A,H. AYUNTAMIENTO CONSTITUCIONAL DE SAN FERNANDO,55.00,NAD 27,24,49,0.00,98,7,0.00,14,32,"1,100.00",18.00,ASFALTO,12/12/1988,5 AÑOS,SIN AUTORIZACIÓN,DIC,1993,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE TAMPICO, TAMAULIPAS",,,,,,
