,,,,,,,,Sistema Aeroportuario Mexicano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEROPUERTO/AERÓDROMO,,,,,,UBICACIÓN,,DATOS ASIGNACIÓN - CONCESIÓN - PERMISO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,IZT,MMIT,IXTEPEC,IXTEPEC,,OAXACA, IXTEPEC,SECRETARÍA DE LA DEFENSA NACIONAL /  AEROPUERTOS Y SERVICIOS AUXILIARES,GAFSACOMM,"servicio de transporte Nacional aéreo regular y no regular, así como de servicios aéreos a terceros y operaciones de aeronaves para uso particular",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,JAL,MMJA,JALAPA,,JALAPA,VERACRUZ, XALAPA,"SERVICIOS AÉREOS DE VERACRUZ, SA DE CV",PARAESTATAL,"destinado a los propios fines del permisionario, o a los de terceros con quienes libremente contrate, siempre que se presten al transporte aéreo nacional, ya sea privado no comercial o comercial y no regular",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,LAP,MMLP,GRAL MANUEL MARQUEZ DE LEÓN,LA PAZ,,BAJA CALIFORNIA SUR,LA PAZ,"AEROPUERTO DE LA PAZ, SA DE CV",GAP,"servicio de transporte Internacional aéreo regular y no regular, así como de servicios aéreos a terceros y operaciones de aeronaves para uso particular",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,LZC,MMLC,LÁZARO CÁRDENAS,,LÁZARO CÁRDENAS,MICHOACAN,LAZARO CARDENAS,GOBIERNO DEL ESTADO DE MICHOACÁN,ESTATAL,"destinado a los propios fines del permisionario, o a los de terceros con quienes libremente contrate, siempre que se presten al transporte aéreo nacional, ya sea privado no comercial o comercial y no regular",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,LTO,MMLT,LORETO,LORETO,,BAJA CALIFORNIA SUR,LORETO,"GRUPO AEROPORTUARIO DE LA CIUDAD DE MÉXICO, SA DE CV",GACM,"servicio de transporte Internacional aéreo regular y no regular, así como de servicios aéreos a terceros y operaciones de aeronaves para uso particular",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,LMM,MMLM,DEL VALLE DEL FUERTE,LOS MOCHIS,,SINALOA,LOS MOCHIS,"AEROPUERTO DE LOS MOCHIS, SA DE CV",GAP,"servicio de transporte Internacional aéreo regular y no regular, así como de servicios aéreos a terceros y operaciones de aeronaves para uso particular",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,ZLO,MMZO,MANZANILLO,MANZANILLO,,COLIMA,MANZANILLO,"AEROPUERTO DE MANZANILLO, SA DE CV",GAP,"servicio de transporte Internacional aéreo regular y no regular, así como de servicios aéreos a terceros y operaciones de aeronaves para uso particular",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,MAM,MMMA,GRAL SERVANDO CANALES,MATAMOROS,,TAMAULIPAS,MATAMOROS,"GRUPO AEROPORTUARIO DE LA CIUDAD DE MÉXICO, SA DE CV",GACM,"servicio de transporte Internacional aéreo regular y no regular, así como de servicios aéreos a terceros y operaciones de aeronaves para uso particular",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,MZT,MMMZ,MAZATLÁN,MAZATLÁN,,SINALOA,MAZATLAN,"AEROPUERTO DE MAZATLÁN, SA DE CV",OMA,"servicio de transporte Internacional aéreo regular y no regular, así como de servicios aéreos a terceros y operaciones de aeronaves para uso particular",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,MID,MMMD,MÉRIDA,MÉRIDA,,YUCATÁN,MERIDA,"AEROPUERTO DE MÉRIDA, SA DE CV",ASUR,"servicio de transporte Internacional aéreo regular y no regular, así como de servicios aéreos a terceros y operaciones de aeronaves para uso particular",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,MXL,MMML,MEXICALI,MEXICALI,,BAJA CALIFORNIA,MEXICALI,"AEROPUERTO DE MEXICALI, SA DE CV",GAP,"servicio de transporte Internacional aéreo regular y no regular, así como de servicios aéreos a terceros y operaciones de aeronaves para uso particular",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,MEX,MMMX,AEROPUERTO INTERNACIONAL BENITO JUÁREZ,MÉXICO,,CIUDAD DE MEXICO,CIUDAD DE MÉXICO,"AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MÉXICO, SA DE CV (AICM)",AICM,"servicio de transporte Internacional aéreo regular y no regular, así como de servicios aéreos a terceros y operaciones de aeronaves para uso particular",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,MTT,MMMT,MINATITLÁN,MINATITLÁN,,VERACRUZ,MINATITLAN,"AEROPUERTO DE MINATITLÁN, SA DE CV",ASUR,"servicio de transporte Internacional aéreo regular y no regular, así como de servicios aéreos a terceros y operaciones de aeronaves para uso particular",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,LOV,MMMV,MONCLOVA,,MONCLOVA,COAHUILA,CD FRONTERA,"ADMINISTRADORA COAHUILENSE DE INFRAESTRUCTURA Y TRANSPORTE AÉREO, SA DE CV ",ACITA,"destinado a los propios fines del permisionario, o a los de terceros con quienes libremente contrate, siempre que se presten al transporte aéreo nacional, ya sea privado no comercial o comercial y no regular",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,MTY,MMMY,MONTERREY ,MONTERREY ,,NUEVO LEÓN,APODACA,"AEROPUERTO DE MONTERREY , SA DE CV",OMA,"servicio de transporte Internacional aéreo regular y no regular, así como de servicios aéreos a terceros y operaciones de aeronaves para uso particular",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,MLM,MMMM,GRAL FRANCISCO J MUJICA,MORELIA,,MICHOACAN,ALVARO OBREGON,"AEROPUERTO DE MORELIA, SA DE CV",GAP,"servicio de transporte Internacional aéreo regular y no regular, así como de servicios aéreos a terceros y operaciones de aeronaves para uso particular",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,NOG,MMNG,NOGALES,NOGALES,,SONORA,NOGALES,"GRUPO AEROPORTUARIO, FERROVIARIO, DE SERVICIOS AUXILIARES Y CONEXOS, OLMECA-MAYA-MEXICA, SA DE CV",GAFSACOMM,"servicio de transporte Internacional aéreo regular y no regular, así como de servicios aéreos a terceros y operaciones de aeronaves para uso particular",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,NLD,MMNL,AEROPUERTO INTERNACIONAL QUETZALCOATL,NUEVO LAREDO,,TAMAULIPAS,NUEVO LAREDO,"GRUPO AEROPORTUARIO, FERROVIARIO, DE SERVICIOS AUXILIARES Y CONEXOS, OLMECA-MAYA-MEXICA, SA DE CV",GAFSACOMM,"servicio de transporte Internacional aéreo regular y no regular, así como de servicios aéreos a terceros y operaciones de aeronaves para uso particular",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,OAX,MMOX,OAXACA,OAXACA,,OAXACA,XOXOCOTLAN,"AEROPUERTO DE OAXACA, SA DE CV",ASUR,"servicio de transporte Internacional aéreo regular y no regular, así como de servicios aéreos a terceros y operaciones de aeronaves para uso particular",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,NIL,MMPC,PACHUCA,,PACHUCA,HIDALGO,PACHUCA DE SOTO,GOBIERNO DEL ESTADO DE HIDALGO,ESTATAL,"destinado a los propios fines del permisionario, o a los de terceros con quienes libremente contrate, siempre que se presten al transporte aéreo nacional, ya sea privado no comercial o comercial y no regular",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
